"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000105270.15-CLIP3"	33.4984715314808	78.0006479718215	7.42048493200909	1.19927824103231e-08	8.78568927226952e-06	9.77909654862268	"ENSG00000105270.15-CLIP3"	TRUE	5.05622416070251	TRUE
"ENSG00000171291.8-ZNF439"	9.51851986186674	10.3814010538118	7.35406307678787	1.45510565790665e-08	1.04175643931176e-05	9.5969929856536	"ENSG00000171291.8-ZNF439"	TRUE	4.98223380639848	TRUE
"ENSG00000138468.16-SENP7"	7.3362557619476	17.6935638413366	7.31556334671226	1.6280076345406e-08	1.12892686763238e-05	9.49121081858851	"ENSG00000138468.16-SENP7"	TRUE	4.94733419094698	TRUE
"ENSG00000281571.2-AC241585.2"	4.35298340566615	5.67155426714637	7.31126909268846	1.64853928164469e-08	1.12892686763238e-05	9.4794015276177	"ENSG00000281571.2-AC241585.2"	TRUE	4.94733419094698	TRUE
"ENSG00000171223.6-JUNB"	-10.8602423866844	11.0870140680446	-7.29794546294012	1.71392461000056e-08	1.14873061999208e-05	9.44274810209146	"ENSG00000171223.6-JUNB"	TRUE	4.93978180244065	FALSE
"ENSG00000149932.17-TMEM219"	21.1352307009027	79.3443644579403	7.22832073133368	2.10081807202114e-08	1.37870562680704e-05	9.25088931630776	"ENSG00000149932.17-TMEM219"	TRUE	4.86052845195372	TRUE
"ENSG00000137103.20-TMEM8B"	8.54101539479865	19.9394465040527	7.19736406364269	2.30015382327022e-08	1.47871725687419e-05	9.16541421504567	"ENSG00000137103.20-TMEM8B"	TRUE	4.83011485880783	TRUE
"ENSG00000165113.13-GKAP1"	7.53050109174115	19.9922705611516	7.14946854128969	2.64694416359442e-08	1.66762776194776e-05	9.03296577510481	"ENSG00000165113.13-GKAP1"	TRUE	4.77790088353833	TRUE
"ENSG00000099622.14-CIRBP"	77.756137958538	339.325611779706	7.13416849850214	2.76851472015728e-08	1.71001925881714e-05	8.99060424239044	"ENSG00000099622.14-CIRBP"	TRUE	4.76699899840848	TRUE
"ENSG00000181754.7-AMIGO1"	3.325478671293	6.72919982135848	7.11391260106027	2.93819320423381e-08	1.77992354089556e-05	8.93448348011193	"ENSG00000181754.7-AMIGO1"	TRUE	4.74959865301714	TRUE
"ENSG00000121691.7-CAT"	13.8514433843284	25.0006220694273	7.08995227817864	3.15253216647898e-08	1.87373425992933e-05	8.86804403667616	"ENSG00000121691.7-CAT"	TRUE	4.7272920023649	TRUE
"ENSG00000145860.11-RNF145"	-49.0423884218814	134.374474656638	-7.04868784928499	3.55939486840511e-08	2.02110442529274e-05	8.75348344534001	"ENSG00000145860.11-RNF145"	TRUE	4.69441124702067	FALSE
"ENSG00000112031.16-MTRF1L"	-5.07528862865269	15.2412570606524	-7.04796038211247	3.56702482291974e-08	2.02110442529274e-05	8.75146225123663	"ENSG00000112031.16-MTRF1L"	TRUE	4.69441124702067	FALSE
