"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000282944.1-AC140481.3"	0.242577123429412	0.650663561697836	4.99472043234262	1.68223532678823e-05	0.00963492636893744	2.91110158483583
"ENSG00000146707.14-POMZP3"	-8.42578644817299	20.0933647150387	-4.97999530584868	1.75828275354203e-05	0.00983088149943909	2.87140141305998
"ENSG00000268902.3-CSAG2"	-1.39652539284991	1.04051700817117	-4.97611871077121	1.77886494228129e-05	0.00983088149943909	2.86095140514054
"ENSG00000119471.15-HSDL2"	-4.77852408484621	19.424004881524	-4.95476475002278	1.89660515024971e-05	0.0103008549720718	2.80340079332811
"ENSG00000253333.1-AC146944.3"	-1.20501337571622	0.86843359145077	-4.93632196759538	2.00450130615723e-05	0.0107023382449591	2.75371383487323
"ENSG00000005001.10-PRSS22"	1.49913549037282	2.14912010124768	4.91785820051039	2.11862230733338e-05	0.0111231202172181	2.70398774419209
"ENSG00000088386.17-SLC15A1"	1.18368185370053	1.74438114572977	4.91154666128785	2.15909341703372e-05	0.0111497707754064	2.68699383098195
"ENSG00000268119.6-AC010615.2"	18.9814742904392	32.650687534878	4.90392351903023	2.20899905323433e-05	0.0112234966412798	2.66647129945669
"ENSG00000258399.7-AL117190.1"	1.31057525284206	2.0701377210788	4.88901269327906	2.30994689253064e-05	0.0114327727732546	2.62633870395604
"ENSG00000284719.1-AL033527.5"	-0.257504158067107	0.657276410368559	-4.88716430632428	2.32277533249197e-05	0.0114327727732546	2.62136463775708
"ENSG00000158806.14-NPM2"	-2.37827567588619	2.46042011919024	-4.85427907268363	2.56319280508191e-05	0.0123450151949327	2.53290322444873
"ENSG00000137992.14-DBT"	-2.36606447968672	9.82238286615338	-4.85125635363531	2.58649250139856e-05	0.0123450151949327	2.52477539987535
"ENSG00000272391.6-POM121C"	-9.87156581853188	58.7104850647317	-4.8440254626405	2.64308521275143e-05	0.0123550194614805	2.50533450171543
"ENSG00000145113.22-MUC4"	2.19397976714292	2.44954165363326	4.83815723947557	2.68991413696696e-05	0.0123550194614805	2.48955970148331
"ENSG00000260128.6-ULK4P2"	4.04195207998739	2.79297252191436	4.83613375759796	2.70625168357245e-05	0.0123550194614805	2.4841207449187
"ENSG00000181885.18-CLDN7"	-18.6183380476065	72.1178127152017	-4.80993795127513	2.92684982771069e-05	0.0130896147908825	2.41373286656993
"ENSG00000261279.5-ULK4P1"	-3.95814813139273	3.15101313865109	-4.80490790724094	2.97120436395427e-05	0.0130896147908825	2.40022248099492
"ENSG00000284673.1-AC092865.3"	-5.13331860834376	1.84375716803328	-4.80259560022729	2.99181697388509e-05	0.0130896147908825	2.39401235370423
"ENSG00000276476.3-AL136962.1"	0.959038813971016	1.58836513745198	4.78246242432815	3.17738374283536e-05	0.0135625796883501	2.33995687328614
"ENSG00000206527.10-HACD2"	-4.82120952430998	26.9472204927061	-4.78155312180241	3.18602868778105e-05	0.0135625796883501	2.33751617363819
"ENSG00000213742.7-ZNF337-AS1"	-2.23800856524078	4.04165212082104	-4.77623999948027	3.23700958411694e-05	0.013595871854569	2.32325618463256
"ENSG00000198598.6-MMP17"	-10.1351783752416	24.6554001787901	-4.74951395425892	3.50596757747344e-05	0.0145317742971041	2.25155741912836
"ENSG00000196139.14-AKR1C3"	2.7886009276895	3.40266741763205	4.72076018537005	3.82007147912948e-05	0.0156280612550725	2.17448033416077
"ENSG00000268297.1-CLEC4GP1"	0.80538095427043	0.934867106877357	4.71206105579866	3.92047593226171e-05	0.0156607492520207	2.15117459769883
"ENSG00000119125.16-GDA"	-0.739660829790498	1.0502701020676	-4.71146146303037	3.92749179679895e-05	0.0156607492520207	2.14956846452707
"ENSG00000152642.10-GPD1L"	-1.29413261369514	4.50855226627348	-4.70114347939361	4.0501880404153e-05	0.0159481216826403	2.12193428954967
"ENSG00000262714.1-AC007342.5"	1.34196299579687	1.37290655826568	4.69466560565554	4.12914983013023e-05	0.0160583146665349	2.10458946580857
"ENSG00000254339.5-AC064802.1"	118.589096752985	154.809833888355	4.64748072596035	4.75212116235428e-05	0.0180812479980669	1.97835985190468
"ENSG00000143067.5-ZNF697"	2.406213950883	9.48016657121716	4.64663368976684	4.76411410380481e-05	0.0180812479980669	1.97609567541191
"ENSG00000171766.16-GATM"	-4.18088474326639	11.6971648091974	-4.61483481458326	5.23665273668535e-05	0.0192848787829733	1.89114411957878
"ENSG00000130812.10-ANGPTL6"	-0.206053479894429	0.690581677726468	-4.60785705120462	5.3463846551339e-05	0.0192848787829733	1.87251579182402
"ENSG00000236643.1-AL354928.1"	0.227219080048011	0.605734279197578	4.60687333508628	5.36203613840923e-05	0.0192848787829733	1.86988997702664
"ENSG00000168924.15-LETM1"	-5.28476575987816	31.8952212838426	-4.60507961903776	5.39069179850995e-05	0.0192848787829733	1.86510228958219
"ENSG00000119673.14-ACOT2"	-3.49973503313264	10.9565000892363	-4.60369076967619	5.41298335825227e-05	0.0192848787829733	1.86139546753701
"ENSG00000120669.16-SOHLH2"	5.15889182307595	5.05099518822589	4.60122879784789	5.45272296650672e-05	0.0192848787829733	1.85482496295595
"ENSG00000187955.12-COL14A1"	4.24493282069286	11.0410417380819	4.59772414841287	5.50979045258117e-05	0.0192848787829733	1.84547279961931
"ENSG00000213714.1-FAM209B"	1.06526701339323	1.35160032335157	4.57828848264329	5.83714203911905e-05	0.0202061331180537	1.79363108672654
"ENSG00000233251.8-AC007743.1"	0.114213170577787	0.66757692222718	4.5490824729595	6.36548885607556e-05	0.0217955722233952	1.71580172202227
"ENSG00000112031.16-MTRF1L"	-3.25996709834376	15.2412570606524	-4.52705661435778	6.79491401201673e-05	0.0230157619669397	1.65716658638849
"ENSG00000204529.4-GUCY2EP"	-0.508519653231836	0.825380035242478	-4.50884919664316	7.17137514804238e-05	0.0240324987806897	1.60873699712638
"ENSG00000198848.12-CES1"	-2.10571314150429	1.99071854247805	-4.49603564072719	7.44857224771628e-05	0.0246986815131906	1.57467695557754
