"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000198860.12-TSEN15"	-12.9278828341419	47.7201846898067	-5.82684198597855	1.36859705663119e-06	0.000381523680362294	5.29880488598128	"ENSG00000198860.12-TSEN15"	TRUE	3.41847850113897	FALSE
"ENSG00000178585.15-CTNNBIP1"	22.83244094509	68.1191771148531	5.82337728479109	1.38297420035478e-06	0.000382149739345403	5.28896526353457	"ENSG00000178585.15-CTNNBIP1"	TRUE	3.4177664323001	TRUE
"ENSG00000144115.16-THNSL2"	-9.57656125651691	10.5231517587084	-5.82019063350313	1.39633115727767e-06	0.000382485459003511	5.27991502893578	"ENSG00000144115.16-THNSL2"	TRUE	3.41738507082298	FALSE
"ENSG00000140400.17-MAN2C1"	33.6700974317744	120.020576135761	5.81678171289762	1.41076293831065e-06	0.000383107269997618	5.27023326318727	"ENSG00000140400.17-MAN2C1"	TRUE	3.41667960659199	TRUE
"ENSG00000091542.9-ALKBH5"	18.0242516067777	92.6748405131711	5.80584086673378	1.45809898395827e-06	0.000392577573450165	5.23915798856645	"ENSG00000091542.9-ALKBH5"	TRUE	3.4060745137147	TRUE
"ENSG00000227684.2-CROCCP4"	1.68216222881252	1.48491411040634	5.79589430411702	1.50251323266281e-06	0.000401107367306027	5.21090435419307	"ENSG00000227684.2-CROCCP4"	TRUE	3.39673936107752	TRUE
"ENSG00000267594.5-CYP4F24P"	-1.02791662756079	1.1831613952968	-5.79267472152789	1.51717806393022e-06	0.000401618707494671	5.20175851392767	"ENSG00000267594.5-CYP4F24P"	TRUE	3.39618606585188	FALSE
"ENSG00000250091.3-DNAH10OS"	1.31015532926569	3.45294151989762	5.78768581080082	1.54018580490933e-06	0.000403178230121105	5.18758610712385	"ENSG00000250091.3-DNAH10OS"	TRUE	3.39450292595123	TRUE
"ENSG00000108786.10-HSD17B1"	1.05308644007073	2.13154616464266	5.78586555054433	1.54866721198228e-06	0.000403178230121105	5.18241501014139	"ENSG00000108786.10-HSD17B1"	TRUE	3.39450292595123	TRUE
"ENSG00000164751.15-PEX2"	11.0691333437513	46.7690014382312	5.77896065721244	1.58126785088914e-06	0.000408291135826712	5.16279856098786	"ENSG00000164751.15-PEX2"	TRUE	3.38903004869159	TRUE
"ENSG00000159388.6-BTG2"	-8.48459690201171	38.0802131974918	-5.77568579495135	1.59696924459259e-06	0.000408992911983017	5.15349449511125	"ENSG00000159388.6-BTG2"	TRUE	3.38828421843114	FALSE
"ENSG00000129244.9-ATP1B2"	11.9698619509399	32.8794076037579	5.77174515173889	1.6160699484382e-06	0.000410546931014128	5.14229861649773	"ENSG00000129244.9-ATP1B2"	TRUE	3.38663719002941	TRUE
"ENSG00000112972.15-HMGCS1"	-122.920894314247	335.043043339588	-5.76526730793826	1.64796738278441e-06	0.000415300964200733	5.12389354279707	"ENSG00000112972.15-HMGCS1"	TRUE	3.38163706059113	FALSE
"ENSG00000184923.12-NUTM2A"	-1.57949368147203	2.31973973937205	-5.76235423722878	1.66251643973113e-06	0.000415642304507701	5.11561655592789	"ENSG00000184923.12-NUTM2A"	TRUE	3.38128025591941	FALSE
"ENSG00000177728.17-TMEM94"	22.3928798670797	69.9399781607868	5.69213288567643	2.05494979033787e-06	0.000505726354261198	4.91605039933013	"ENSG00000177728.17-TMEM94"	TRUE	3.29608441395301	TRUE
"ENSG00000100307.13-CBX7"	3.184109467825	8.80605274863811	5.67950978790386	2.13475653468778e-06	0.00052129430697054	4.88016845419563	"ENSG00000100307.13-CBX7"	TRUE	3.28291701795574	TRUE
"ENSG00000183891.6-TTC32"	6.72077664016527	13.4311318151889	5.67566776448097	2.15965732293669e-06	0.000523318194844836	4.86924688738377	"ENSG00000183891.6-TTC32"	TRUE	3.2812341653495	TRUE
"ENSG00000205856.4-C22orf42"	1.331273549219	1.74203591116625	5.66726311530593	2.21514760908244e-06	0.000532666907127526	4.84535475715726	"ENSG00000205856.4-C22orf42"	TRUE	3.27354428368887	TRUE
"ENSG00000167535.8-CACNB3"	11.4857973947723	30.3213115304457	5.64421452352917	2.37475492365215e-06	0.00055996812284116	4.7798302861965	"ENSG00000167535.8-CACNB3"	TRUE	3.25183669525849	TRUE
